data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 0
use word embeddings: 1
use crf layer: 0

 [    0     0     0     0     0     0    34     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     5     2     8     0  6894     0     1     0     1     0     0     1     5     4     0     1     1     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     3     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     5     0     0     0     0  1303     0     1     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     2     3     0     7     0    42     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0  8770     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0    12     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    6     0     0    34     7     0     0     0     0     0     2  1874     0     0     0     0     0     0    71    93     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     3     0     1     1     0     0]
 [    4     0     0     1     0     0     0     0     0     0     1     1    13     0     0     0     0     0   157    22     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     7     0     0     0     0     0     0   201     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    7     0     0     0     0    18     0     3     0     0     0     0     0     0     5  1624     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0    82     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     2     0     0     0     0     0     0     1     0     0   457     0     0     0     0     0     0     0     0     0     0     0     0     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    4     0     0    29     3     0     0     4     0     0     0    29     1     0     0     0     0     0  3746   497     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    12     0     0     0     0     0     0     0     6     0     2     1     1    65]
 [   25     0     0    89    10     2     0     0     0     0     0    60     0     0     0     0     0     0   218 16329     0     0     1     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    49     0     0     0     0     0     0     0     6     0     4     0     5    32]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   223     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
