data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 0
use word embeddings: 1
use crf layer: 1

9. Falls_KOUS die_ART bisherige_ADJA Brüsseler_ADJA Strukturpolitik_NN beibehalten_VVPP würde_VAFIN ,_$, müßten_VMFIN die_ART osteuropäischen_ADJA Beitrittsländer_NN -_$( nach_APPR heutigen_ADJA Regeln_NN -_$( durchschnittlich_ADV|ADJD 17_CARD Prozent_NN ihres_PPOSAT Inlandsproduktes_NN aus_APPR Mitteln_NN des_ART Strukturfonds_NN erhalten_VVINF ._$.
10. Das_PDS sei_VAFIN ``_$( weder_ADV|KON zu_PTKZU finanzieren_VVINF noch_KON zu_PTKZU verwalten_VVINF ''_$( ._$.
11. Die_ART EU-Kommission_NN ,_$, die_PRELS in_APPR der_ART nächsten_ADJA Woche_NN ihre_PPOSAT Stellungnahme_NN zu_APPR den_ART Anträgen_NN der_ART Kandidaten_NN vorlegen_VVINF will_VMFIN ,_$, sollte_VMFIN nach_APPR Ansicht_NN der_ART Sozialdemokraten_NN auch_ADV schon_ADV jetzt_ADV den_ART Wandel_NN bei_APPR den_ART künftigen_ADJA neuen_ADJA Mitgliedern_NN wirksamer_ADJD unterstützen_VVINF ._$.
12. Sie_PPER schlagen_VVFIN vor_PTKVZ ,_$, bestehende_ADJA Programme_NN zu_APPR einem_ART Fonds_NN zusammenzufassen_VVIZU|VVINF ._$.
13. Durch_APPR frühe_ADJA Hilfen_NN beim_APPRART Aufbau_NN von_APPR Verwaltungen_NN und_KON Infrastruktur_NN könnten_VMFIN die_ART Kosten_NN nach_APPR der_ART tatsächlichen_ADJA Aufnahme_NN in_APPR die_ART Europäische_ADJA Union_NN geringer_ADJD ausfallen_VVINF ._$.
14. Tarifverträge_NN
15. Preise_NN eilen_VVFIN Einkommen_NN voraus_PTKVZ
16. prw_XY
17. FRANKFURT_NE A._APPRART M._NE
18. Die_ART Tarifabschlüsse_NN in_APPR Westdeutschland_NE blieben_VVFIN im_APPRART ersten_ADJA Halbjahr_NN noch_ADV hinter_APPR der_ART Preissteigerungsrate_NN zurück_PTKVZ ._$.
